DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,AIRLINE_ID,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,YEAR,MONTH
6.0,4.0,636.0,19930,Alaska Airlines Inc.,3,3,2024,2
6.0,4.0,0.0,19930,Alaska Airlines Inc.,3,3,2024,1
6.0,3.0,534.0,19930,Alaska Airlines Inc.,3,3,2024,1
6.0,3.0,534.0,19930,Alaska Airlines Inc.,3,3,2024,2
6.0,3.0,534.0,19930,Alaska Airlines Inc.,3,3,2024,1
6.0,4.0,636.0,19930,Alaska Airlines Inc.,3,3,2024,3
3.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,2
6.0,4.0,712.0,19930,Alaska Airlines Inc.,3,3,2024,4
6.0,4.0,712.0,19930,Alaska Airlines Inc.,3,3,2024,3
6.0,1.0,178.0,19930,Alaska Airlines Inc.,3,3,2024,1
3.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,2
6.0,1.0,178.0,19930,Alaska Airlines Inc.,3,3,2024,1
6.0,4.0,712.0,19930,Alaska Airlines Inc.,3,3,2024,3
20.0,16.0,2553.0,19930,Alaska Airlines Inc.,3,3,2024,1
3.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,4
6.0,4.0,636.0,19930,Alaska Airlines Inc.,3,3,2024,3
3.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,4
6.0,1.0,178.0,19930,Alaska Airlines Inc.,3,3,2024,1
6.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,4
6.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,1
6.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,1
6.0,4.0,712.0,19930,Alaska Airlines Inc.,3,3,2024,3
6.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,1
38.0,19.0,3382.0,19930,Alaska Airlines Inc.,3,3,2024,1
38.0,11.0,1958.0,19930,Alaska Airlines Inc.,3,3,2024,1
38.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,1
20.0,16.0,1984.0,19930,Alaska Airlines Inc.,3,3,2024,4
51.0,46.0,8188.0,19930,Alaska Airlines Inc.,3,3,2024,4
68.0,11.0,1958.0,19930,Alaska Airlines Inc.,3,3,2024,1
68.0,57.0,10146.0,19930,Alaska Airlines Inc.,3,3,2024,2
68.0,37.0,6586.0,19930,Alaska Airlines Inc.,3,3,2024,4
